:START_ID,:END_ID,:TYPE
Disclosure_Disclosure_415_1_Political_contributions,Requirement_-1657662194702977658,requires
Requirement_-1657662194702977658,Disclosure_Disclosure_415_1_Political_contributions,belongsToDisclosure
Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,Topic_GRI_203_Indirect_Economic_Impacts_2016,contains
Topic_GRI_203_Indirect_Economic_Impacts_2016,Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,belongsToFramework
Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,Topic_GRI_203_Indirect_Economic_Impacts_2016,contains
Topic_GRI_203_Indirect_Economic_Impacts_2016,Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,belongsToFramework
Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,contains
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Framework_GRI_203_Indirect_Economic_Impacts_2016_pdf,belongsToFramework
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Topic_1_Topic_management_disclosures_7,contains
Topic_1_Topic_management_disclosures_7,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Topic_2_Topic_disclosures_8,contains
Topic_2_Topic_disclosures_8,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,contains
Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,contains
Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,contains
Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Topic_1_Topic_management_disclosures,contains
Topic_1_Topic_management_disclosures,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_1_Topic_management_disclosures,Requirement_0,requires
Requirement_0,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_1_Topic_management_disclosures,Requirement_-4199093108972600851,requires
Requirement_-4199093108972600851,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Topic_2_Topic_disclosures,contains
Topic_2_Topic_disclosures,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,contains
Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,Requirement_-2346684458632522826,requires
Requirement_-2346684458632522826,Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,belongsToDisclosure
Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,Requirement_-7685754589235281822,requires
Requirement_-7685754589235281822,Disclosure_Disclosure_203_1_Infrastructure_investments_and_se,belongsToDisclosure
Topic_GRI_203_Indirect_Economic_Impacts_2016_3,Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,contains
Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,Topic_GRI_203_Indirect_Economic_Impacts_2016_3,belongsToTopic
Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,Requirement_-5787370671646401107,requires
Requirement_-5787370671646401107,Disclosure_Disclosure_203_2_Significant_indirect_economic_imp,belongsToDisclosure
Framework_GRI_103_Energy_2025_pdf,Topic_GRI_103_Energy_2025,contains
Topic_GRI_103_Energy_2025,Framework_GRI_103_Energy_2025_pdf,belongsToFramework
Framework_GRI_103_Energy_2025_pdf,Topic_GRI_103_Energy_2025,contains
Topic_GRI_103_Energy_2025,Framework_GRI_103_Energy_2025_pdf,belongsToFramework
Topic_GRI_103_Energy_2025,Topic_1_Topic_management_disclosures_7,contains
Topic_1_Topic_management_disclosures_7,Topic_GRI_103_Energy_2025,belongsToTopic
Topic_GRI_103_Energy_2025,Disclosure_Disclosure_103_1_Energy_policies_and_commitments_7,contains
